PRATICA;CERTIFICATO
441993;14080
441998;14743,72
442007;22406,12
442017;39416,92
442019;40000
442023;26800
442036;40000
442037;40000
442038;14286,74
442041;32280
442044;35920
442068;40000
442076;23777,89
442077;40000
442082;13781,51
442083;9249,57
442087;9720
442092;8187,6
442107;15600
442111;8120
442117;14603,78
442122;10994,6
442131;10000
442135;13551,58
442139;40000
442147;14181,32
442150;13562,55
442156;12000
442160;8176,8
442163;37200
442165;22497,68
442169;40000
442172;9992,56
442173;9061,2
442174;40000
442181;8000
442182;15000
442199;24000
442201;40000
442206;21669,2
442207;14088
442221;39168,35
442231;38860,32
442233;15320
442240;40000
442260;12000
442261;16327,57
442266;38859,76
442267;20800
442277;24720,07
442278;20000
442279;40000
442285;40000
442295;40000
442318;40000
442320;25604,52
442328;40000
442357;40000
442369;40000
442399;9845,66
442403;8000
442414;10660
442419;16200
442420;13600
442426;40000
442443;40000
442472;9435,95
442483;12780,71
442529;18763,2
442537;31104,86
442562;40000
442563;40000
442573;40000
442581;18829,95
442586;40000
442608;40000
442609;14920
442618;37080
442622;40000
442627;11712
442631;13864,29
442636;24720
442639;40000
442662;19905,96
442700;16769,78
442718;40000
442726;40000
442750;16593,68
442754;40000
442773;40000
442791;40000
442805;13304
442817;30880
442819;20316
442822;12680
442827;14358,8
442870;15000
442879;12056,8
442881;13034,4
442951;21757,05
442969;34371,6
442973;40000
442988;18313,2
443007;34000
443015;40000
443055;30858,51
443096;26085,04
443100;25678,8
443136;40000
443173;15780
443176;36160
443210;9360
443215;24503,38
443242;39887
443249;40000
443256;40000
443282;38720
443303;16720
443317;40000
443334;12951,91
443372;7557,32
443382;14641,32
443406;17435,74
443415;32000
443460;40000
443487;23453,03
443558;39728,92
443568;40000
443569;10040
443571;40000
443613;12400
443623;40000
443652;23741,6
443655;19200
443680;13726,96
443693;14063,2
443718;40000
443749;10954
443764;16000
443793;40000
443794;37960
443862;40000
443871;32000
443933;14491,2
443948;40000
444022;8719,3
444225;8263,08
444278;16000
444348;11578,74
444372;9659,89
444380;30327,38
444386;28532,34
444414;15200
444440;40000
444451;13936,4
444458;40000
444483;19460,7
444485;10819,2
444530;12480
444612;8911,6
444619;31107,42
444634;24028
444674;40000
444686;32000
444692;40000
444695;19065,12
444718;25200
444751;17483,47
444789;13960
444969;40000
445056;11738,4
445062;33530,08
445100;15000
445121;30240
445122;12467,2
445145;15160
445158;40000
445206;11200
445282;20160
445416;11822,2
445420;14083,28
445440;40000
445477;40000
445631;8440
445749;22040
445874;24956,42
445912;13555,24
445959;23000
446054;12000
446253;22800
446289;15839,34
446317;40000
446392;18380
446395;18557,74
446476;15000
446654;31822,4
446863;40000
446893;19701,6
446948;39576,8
446955;8513,3
446977;17880
447106;40000
447148;35400
447342;20928
447428;15000
447438;8240
447443;24454,29
447529;40000
447605;22879,74
447676;40000
447769;40000
447945;19008
448116;18747,52
448243;11587,12
448347;8552
448383;14920
448570;10400
448829;34492,4
449018;19996
449167;20000
449206;12222,92
449216;24900
449230;13024
449438;9621,2
449538;12698,6
449595;40000
449770;12804
449816;40000
449901;11088
449957;8400
449960;28191,04
449973;35469,76
450163;19446,8
450658;38631,28
450702;31573,3
450755;14972,4
450923;23077,62
